subset,person,clip_folder,relative_path,engagement_label
Train,0,subject_0_2msdhgqawh_vid_0_0,Train/subject_0_2msdhgqawh_vid_0_0.mp4,Engaged
Train,0,subject_0_2msdhgqawh_vid_0_1,Train/subject_0_2msdhgqawh_vid_0_1.mp4,Barely-engaged
Train,0,subject_0_2msdhgqawh_vid_0_10,Train/subject_0_2msdhgqawh_vid_0_10.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_11,Train/subject_0_2msdhgqawh_vid_0_11.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_13,Train/subject_0_2msdhgqawh_vid_0_13.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_14,Train/subject_0_2msdhgqawh_vid_0_14.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_15,Train/subject_0_2msdhgqawh_vid_0_15.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_16,Train/subject_0_2msdhgqawh_vid_0_16.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_17,Train/subject_0_2msdhgqawh_vid_0_17.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_18,Train/subject_0_2msdhgqawh_vid_0_18.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_19,Train/subject_0_2msdhgqawh_vid_0_19.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_2,Train/subject_0_2msdhgqawh_vid_0_2.mp4,Barely-engaged
Train,0,subject_0_2msdhgqawh_vid_0_20,Train/subject_0_2msdhgqawh_vid_0_20.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_21,Train/subject_0_2msdhgqawh_vid_0_21.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_22,Train/subject_0_2msdhgqawh_vid_0_22.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_23,Train/subject_0_2msdhgqawh_vid_0_23.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_24,Train/subject_0_2msdhgqawh_vid_0_24.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_25,Train/subject_0_2msdhgqawh_vid_0_25.mp4,Barely-engaged
Train,0,subject_0_2msdhgqawh_vid_0_26,Train/subject_0_2msdhgqawh_vid_0_26.mp4,Engaged
Train,0,subject_0_2msdhgqawh_vid_0_27,Train/subject_0_2msdhgqawh_vid_0_27.mp4,Highly-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_3,Train/subject_0_2msdhgqawh_vid_0_3.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_4,Train/subject_0_2msdhgqawh_vid_0_4.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_5,Train/subject_0_2msdhgqawh_vid_0_5.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_6,Train/subject_0_2msdhgqawh_vid_0_6.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_7,Train/subject_0_2msdhgqawh_vid_0_7.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_8,Train/subject_0_2msdhgqawh_vid_0_8.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_0_9,Train/subject_0_2msdhgqawh_vid_0_9.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_0,Train/subject_0_2msdhgqawh_vid_1_0.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_1,Train/subject_0_2msdhgqawh_vid_1_1.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_11,Train/subject_0_2msdhgqawh_vid_1_11.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_12,Train/subject_0_2msdhgqawh_vid_1_12.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_13,Train/subject_0_2msdhgqawh_vid_1_13.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_14,Train/subject_0_2msdhgqawh_vid_1_14.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_15,Train/subject_0_2msdhgqawh_vid_1_15.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_16,Train/subject_0_2msdhgqawh_vid_1_16.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_17,Train/subject_0_2msdhgqawh_vid_1_17.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_18,Train/subject_0_2msdhgqawh_vid_1_18.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_19,Train/subject_0_2msdhgqawh_vid_1_19.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_2,Train/subject_0_2msdhgqawh_vid_1_2.mp4,Engaged
Train,0,subject_0_2msdhgqawh_vid_1_20,Train/subject_0_2msdhgqawh_vid_1_20.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_21,Train/subject_0_2msdhgqawh_vid_1_21.mp4,Barely-engaged
Train,0,subject_0_2msdhgqawh_vid_1_22,Train/subject_0_2msdhgqawh_vid_1_22.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_23,Train/subject_0_2msdhgqawh_vid_1_23.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_24,Train/subject_0_2msdhgqawh_vid_1_24.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_25,Train/subject_0_2msdhgqawh_vid_1_25.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_26,Train/subject_0_2msdhgqawh_vid_1_26.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_27,Train/subject_0_2msdhgqawh_vid_1_27.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_28,Train/subject_0_2msdhgqawh_vid_1_28.mp4,Barely-engaged
Train,0,subject_0_2msdhgqawh_vid_1_29,Train/subject_0_2msdhgqawh_vid_1_29.mp4,Engaged
Train,0,subject_0_2msdhgqawh_vid_1_3,Train/subject_0_2msdhgqawh_vid_1_3.mp4,Engaged
Train,0,subject_0_2msdhgqawh_vid_1_30,Train/subject_0_2msdhgqawh_vid_1_30.mp4,Engaged
Train,0,subject_0_2msdhgqawh_vid_1_31,Train/subject_0_2msdhgqawh_vid_1_31.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_4,Train/subject_0_2msdhgqawh_vid_1_4.mp4,Engaged
Train,0,subject_0_2msdhgqawh_vid_1_5,Train/subject_0_2msdhgqawh_vid_1_5.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_6,Train/subject_0_2msdhgqawh_vid_1_6.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_7,Train/subject_0_2msdhgqawh_vid_1_7.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_8,Train/subject_0_2msdhgqawh_vid_1_8.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_1_9,Train/subject_0_2msdhgqawh_vid_1_9.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_0,Train/subject_0_2msdhgqawh_vid_2_0.mp4,Barely-engaged
Train,0,subject_0_2msdhgqawh_vid_2_1,Train/subject_0_2msdhgqawh_vid_2_1.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_10,Train/subject_0_2msdhgqawh_vid_2_10.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_11,Train/subject_0_2msdhgqawh_vid_2_11.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_12,Train/subject_0_2msdhgqawh_vid_2_12.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_13,Train/subject_0_2msdhgqawh_vid_2_13.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_14,Train/subject_0_2msdhgqawh_vid_2_14.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_15,Train/subject_0_2msdhgqawh_vid_2_15.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_16,Train/subject_0_2msdhgqawh_vid_2_16.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_17,Train/subject_0_2msdhgqawh_vid_2_17.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_18,Train/subject_0_2msdhgqawh_vid_2_18.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_19,Train/subject_0_2msdhgqawh_vid_2_19.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_2,Train/subject_0_2msdhgqawh_vid_2_2.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_20,Train/subject_0_2msdhgqawh_vid_2_20.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_21,Train/subject_0_2msdhgqawh_vid_2_21.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_22,Train/subject_0_2msdhgqawh_vid_2_22.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_23,Train/subject_0_2msdhgqawh_vid_2_23.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_24,Train/subject_0_2msdhgqawh_vid_2_24.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_25,Train/subject_0_2msdhgqawh_vid_2_25.mp4,Not-Engaged
Train,0,subject_0_2msdhgqawh_vid_2_26,Train/subject_0_2msdhgqawh_vid_2_26.mp4,Not-Engaged
