subset,person,clip_folder,relative_path,gender,num_frames,boredom,engagement,confusion,frustration
Train,110001,1100011002,Train\110001\1100011002,M,0,0,2,0,0
Train,110001,1100011003,Train\110001\1100011003,M,0,0,2,0,0
Train,110001,1100011004,Train\110001\1100011004,M,0,0,3,0,0
Train,110001,1100011005,Train\110001\1100011005,M,0,0,3,0,0
Train,110001,1100011006,Train\110001\1100011006,M,0,0,3,0,0
Train,110001,1100011007,Train\110001\1100011007,M,0,1,2,0,0
Train,110001,1100011008,Train\110001\1100011008,M,0,0,3,0,0
Train,110001,1100011009,Train\110001\1100011009,M,0,0,2,1,0
Train,110001,1100011010,Train\110001\1100011010,M,0,0,3,0,0
Train,110001,1100011011,Train\110001\1100011011,M,0,0,3,0,0
Train,110001,1100011012,Train\110001\1100011012,M,0,0,2,2,0
Train,110001,1100011013,Train\110001\1100011013,M,0,0,3,0,0
Train,110001,1100011014,Train\110001\1100011014,M,0,0,3,0,0
Train,110001,1100011015,Train\110001\1100011015,M,0,0,3,0,0
Train,110001,1100011016,Train\110001\1100011016,M,0,0,3,0,0
Train,110001,1100011017,Train\110001\1100011017,M,0,0,3,0,0
Train,110001,1100011018,Train\110001\1100011018,M,0,0,3,0,0
Train,110001,1100011019,Train\110001\1100011019,M,0,0,3,0,0
Train,110001,1100011020,Train\110001\1100011020,M,0,0,3,0,0
Train,110001,1100011021,Train\110001\1100011021,M,0,0,3,0,0
Train,110001,1100011022,Train\110001\1100011022,M,0,0,3,0,0
Train,110001,1100011023,Train\110001\1100011023,M,0,0,3,0,0
Train,110001,1100011025,Train\110001\1100011025,M,0,0,3,0,0
Train,110001,1100011026,Train\110001\1100011026,M,0,0,3,0,0
Train,110001,1100011027,Train\110001\1100011027,M,0,0,3,0,0
Train,110001,1100011028,Train\110001\1100011028,M,0,0,3,0,0
Train,110001,1100011029,Train\110001\1100011029,M,0,0,3,0,0
Train,110001,1100011031,Train\110001\1100011031,M,0,0,3,0,0
Train,110001,1100011032,Train\110001\1100011032,M,0,0,3,0,0
Train,110001,1100011034,Train\110001\1100011034,M,0,0,3,0,0
Train,110001,1100011035,Train\110001\1100011035,M,0,0,3,0,0
Train,110001,1100011037,Train\110001\1100011037,M,0,0,3,0,0
Train,110001,1100011038,Train\110001\1100011038,M,0,0,3,0,0
Train,110001,1100011040,Train\110001\1100011040,M,0,1,2,0,0
Train,110001,1100011046,Train\110001\1100011046,M,0,0,3,0,0
Train,110001,1100011047,Train\110001\1100011047,M,0,0,3,0,0
Train,110001,1100011048,Train\110001\1100011048,M,0,1,2,1,1
Train,110001,1100011049,Train\110001\1100011049,M,0,0,3,0,0
Train,110001,1100011050,Train\110001\1100011050,M,0,0,3,0,0
Train,110001,1100011051,Train\110001\1100011051,M,0,0,3,1,0
Train,110001,1100011052,Train\110001\1100011052,M,0,1,3,0,1
Train,110001,1100011053,Train\110001\1100011053,M,0,0,3,0,0
Train,110001,1100011054,Train\110001\1100011054,M,0,0,3,0,0
Train,110001,1100011055,Train\110001\1100011055,M,0,0,3,0,0
Train,110001,1100011056,Train\110001\1100011056,M,0,0,3,0,0
Train,110001,1100011057,Train\110001\1100011057,M,0,1,3,0,0
Train,110001,1100011058,Train\110001\1100011058,M,0,0,3,0,0
Train,110001,1100011059,Train\110001\1100011059,M,0,0,3,1,0
Train,110001,1100011060,Train\110001\1100011060,M,0,1,3,1,1
Train,110001,1100011062,Train\110001\1100011062,M,0,0,3,0,0
Train,110001,1100011063,Train\110001\1100011063,M,0,0,3,0,0
Train,110001,1100011064,Train\110001\1100011064,M,0,0,3,0,0
Train,110001,1100011066,Train\110001\1100011066,M,0,1,3,0,0
Train,110001,1100011067,Train\110001\1100011067,M,0,0,3,0,0
Train,110001,1100011068,Train\110001\1100011068,M,0,0,3,0,0
Train,110001,1100011069,Train\110001\1100011069,M,0,0,3,0,0
Train,110001,1100011070,Train\110001\1100011070,M,0,0,3,0,0
Train,110001,1100011071,Train\110001\1100011071,M,0,0,3,0,0
Train,110001,1100011072,Train\110001\1100011072,M,0,0,3,0,0
Train,110001,1100011073,Train\110001\1100011073,M,0,0,3,0,0
Train,110001,1100011075,Train\110001\1100011075,M,0,0,3,0,0
Train,110001,1100011076,Train\110001\1100011076,M,0,0,3,0,0
Train,110001,1100011078,Train\110001\1100011078,M,0,0,2,0,0
Train,110001,1100011079,Train\110001\1100011079,M,0,0,3,0,0
Train,110001,1100011080,Train\110001\1100011080,M,0,0,3,0,0
Train,110001,1100011081,Train\110001\1100011081,M,0,0,3,0,0
Train,110001,1100011082,Train\110001\1100011082,M,0,0,3,0,0
Train,110001,1100011083,Train\110001\1100011083,M,0,0,3,0,0
Train,110001,1100012001,Train\110001\1100012001,M,0,0,3,0,0
Train,110001,1100012003,Train\110001\1100012003,M,0,0,3,0,0
Train,110001,1100012007,Train\110001\1100012007,M,0,0,3,0,1
Train,110001,1100012008,Train\110001\1100012008,M,0,0,3,0,0
Train,110001,1100012009,Train\110001\1100012009,M,0,0,3,0,0
Train,110001,1100012010,Train\110001\1100012010,M,0,0,3,3,0
Train,110001,1100012011,Train\110001\1100012011,M,0,0,3,0,1
Train,110001,1100012013,Train\110001\1100012013,M,0,0,3,0,0
Train,110001,1100012014,Train\110001\1100012014,M,0,0,3,0,0
Train,110001,1100012015,Train\110001\1100012015,M,0,0,3,0,0
Train,110001,1100012016,Train\110001\1100012016,M,0,0,3,0,0
Train,110001,1100012017,Train\110001\1100012017,M,0,0,3,1,0
Train,110001,1100012018,Train\110001\1100012018,M,0,0,3,0,0
Train,110001,1100012021,Train\110001\1100012021,M,0,1,2,0,0
Train,110001,1100012022,Train\110001\1100012022,M,0,0,3,0,0
Train,110001,1100012023,Train\110001\1100012023,M,0,0,3,0,0
Train,110001,1100012025,Train\110001\1100012025,M,0,0,3,0,0
Train,110001,1100012026,Train\110001\1100012026,M,0,1,3,0,0
Train,110001,1100012027,Train\110001\1100012027,M,0,0,3,0,0
Train,110001,1100012028,Train\110001\1100012028,M,0,0,3,0,0
Train,110001,1100012030,Train\110001\1100012030,M,0,0,3,0,0
Train,110001,1100012031,Train\110001\1100012031,M,0,0,3,0,0
Train,110001,1100012032,Train\110001\1100012032,M,0,0,3,0,0
Train,110001,1100012033,Train\110001\1100012033,M,0,0,3,0,0
Train,110001,1100012036,Train\110001\1100012036,M,0,0,3,0,0
Train,110001,1100012037,Train\110001\1100012037,M,0,0,3,0,0
Train,110001,1100012038,Train\110001\1100012038,M,0,0,3,0,0
Train,110001,1100012041,Train\110001\1100012041,M,0,0,3,0,0
Train,110001,1100012042,Train\110001\1100012042,M,0,0,2,0,0
Train,110001,1100012045,Train\110001\1100012045,M,0,0,2,0,0
Train,110001,1100012046,Train\110001\1100012046,M,0,0,3,0,0
Train,110001,1100012047,Train\110001\1100012047,M,0,0,2,0,0
Train,110001,1100012049,Train\110001\1100012049,M,0,0,3,0,0
Train,110001,1100012050,Train\110001\1100012050,M,0,0,3,0,0
Train,110001,1100012051,Train\110001\1100012051,M,0,0,3,1,0
Train,110001,1100012052,Train\110001\1100012052,M,0,0,3,0,0
Train,110001,1100012057,Train\110001\1100012057,M,0,1,3,1,1
Train,110001,1100012059,Train\110001\1100012059,M,0,0,3,0,0
Train,110001,1100012060,Train\110001\1100012060,M,0,0,3,0,0
Train,110001,1100012061,Train\110001\1100012061,M,0,0,3,0,0
Train,110001,1100012062,Train\110001\1100012062,M,0,0,3,0,0
Train,110001,1100012063,Train\110001\1100012063,M,0,0,3,0,0
Train,110001,1100012064,Train\110001\1100012064,M,0,0,3,0,0
Train,110001,1100012065,Train\110001\1100012065,M,0,0,3,1,1
Train,110001,1100012066,Train\110001\1100012066,M,0,0,3,0,0
Train,110001,1100012069,Train\110001\1100012069,M,0,0,3,0,0
Train,110002,1100021001,Train\110002\1100021001,M,0,0,2,0,0
Train,110002,1100021003,Train\110002\1100021003,M,0,0,1,0,0
Train,110002,1100021015,Train\110002\1100021015,M,0,2,2,0,1
Train,110002,1100021038,Train\110002\1100021038,M,0,0,2,0,0
Train,110002,1100021039,Train\110002\1100021039,M,0,1,2,2,2
Train,110002,1100021040,Train\110002\1100021040,M,0,0,3,0,0
Train,110002,1100021045,Train\110002\1100021045,M,0,1,3,0,1
Train,110002,1100021050,Train\110002\1100021050,M,0,0,3,0,2
Train,110002,1100021055,Train\110002\1100021055,M,0,3,1,0,0
Train,110002,1100022001,Train\110002\1100022001,M,0,2,3,1,1
Train,110002,1100022002,Train\110002\1100022002,M,0,2,2,0,0
Train,110002,1100022003,Train\110002\1100022003,M,0,2,3,1,1
Train,110002,1100022004,Train\110002\1100022004,M,0,2,3,0,1
Train,110002,1100022005,Train\110002\1100022005,M,0,2,1,0,0
Train,110002,1100022008,Train\110002\1100022008,M,0,2,2,1,1
Train,110002,1100022009,Train\110002\1100022009,M,0,2,3,0,0
Train,110002,1100022014,Train\110002\1100022014,M,0,0,3,1,0
Train,110002,1100022019,Train\110002\1100022019,M,0,1,3,1,1
Train,110002,1100022020,Train\110002\1100022020,M,0,0,2,0,0
Train,110002,1100022021,Train\110002\1100022021,M,0,1,2,1,0
Train,110002,1100022022,Train\110002\1100022022,M,0,3,2,0,1
Train,110002,1100022026,Train\110002\1100022026,M,0,0,3,0,0
Train,110002,1100022027,Train\110002\1100022027,M,0,1,3,1,1
Train,110002,1100022028,Train\110002\1100022028,M,0,0,3,0,0
Train,110002,1100022029,Train\110002\1100022029,M,0,0,3,0,0
Train,110002,1100022031,Train\110002\1100022031,M,0,0,3,1,1
Train,110002,1100022035,Train\110002\1100022035,M,0,0,2,1,0
Train,110002,1100022038,Train\110002\1100022038,M,0,1,3,1,1
Train,110002,1100022039,Train\110002\1100022039,M,0,1,3,0,1
Train,110002,1100022045,Train\110002\1100022045,M,0,0,3,0,0
Train,110002,1100022046,Train\110002\1100022046,M,0,0,3,0,0
Train,110002,1100022047,Train\110002\1100022047,M,0,1,3,3,0
